price,highwaympg,horsepower,wheelbase,fueltype
7995,46,52,97.3,diesel
8195,34,85,97.3,gas
8495,34,85,97.3,gas
9495,42,68,97.3,diesel
9995,32,100,97.3,gas
11595,29,90,94.5,gas
9980,29,90,94.5,gas
13295,24,110,100.4,gas
13845,38,68,100.4,diesel
12290,31,88,100.4,gas
12940,28,114,104.3,gas
13415,28,114,104.3,gas
15985,28,114,104.3,gas
16515,28,114,104.3,gas
18420,22,162,104.3,gas
18950,22,162,104.3,gas
16845,28,114,109.1,gas
19045,25,160,109.1,gas
21485,23,134,109.1,gas
22470,27,106,109.1,diesel
22625,25,114,109.1,gas
